ID,Name,Description,Category,Group,SeriesName,Estimates,UpperConfidenceLimit,LowerConfidenceLimit,TrendResult
39,Illicit Drug Use in Lifetime,"Any use in lifetime of cocaine, crack, crystal meth, ecstasy, fentanyl, heroin, LSD, mushrooms or synthetic cannabis",Drugs,2017,Durham Region,7,10,4, 
39,Illicit Drug Use in Lifetime,"Any use in lifetime of cocaine, crack, crystal meth, ecstasy, fentanyl, heroin, LSD, mushrooms or synthetic cannabis",Drugs,2019,Durham Region,5,9,1, 
39,Illicit Drug Use in Lifetime,"Any use in lifetime of cocaine, crack, crystal meth, ecstasy, fentanyl, heroin, LSD, mushrooms or synthetic cannabis",Drugs,2009,Ontario,10,11,8, 
39,Illicit Drug Use in Lifetime,"Any use in lifetime of cocaine, crack, crystal meth, ecstasy, fentanyl, heroin, LSD, mushrooms or synthetic cannabis",Drugs,2011,Ontario,8,10,6, 
39,Illicit Drug Use in Lifetime,"Any use in lifetime of cocaine, crack, crystal meth, ecstasy, fentanyl, heroin, LSD, mushrooms or synthetic cannabis",Drugs,2013,Ontario,7,9,5, 
39,Illicit Drug Use in Lifetime,"Any use in lifetime of cocaine, crack, crystal meth, ecstasy, fentanyl, heroin, LSD, mushrooms or synthetic cannabis",Drugs,2015,Ontario,8,9,6, 
39,Illicit Drug Use in Lifetime,"Any use in lifetime of cocaine, crack, crystal meth, ecstasy, fentanyl, heroin, LSD, mushrooms or synthetic cannabis",Drugs,2017,Ontario,7,8,5, 
39,Illicit Drug Use in Lifetime,"Any use in lifetime of cocaine, crack, crystal meth, ecstasy, fentanyl, heroin, LSD, mushrooms or synthetic cannabis",Drugs,2019,Ontario,8,9,6, 
39,Illicit Drug Use in Lifetime,"Any use in lifetime of cocaine, crack, crystal meth, ecstasy, fentanyl, heroin, LSD, mushrooms or synthetic cannabis",Drugs, , , , , ,Between 2017 and 2019 illicit drug use in lifetime stayed about the same in Durham Region
39,Illicit Drug Use in Lifetime,"Any use in lifetime of cocaine, crack, crystal meth, ecstasy, fentanyl, heroin, LSD, mushrooms or synthetic cannabis",Drugs, , , , , ,Between 2009 and 2019 illicit drug use in lifetime stayed the same in Durham Region
39,Illicit Drug Use in Lifetime,"Any use in lifetime of cocaine, crack, crystal meth, ecstasy, fentanyl, heroin, LSD, mushrooms or synthetic cannabis",Drugs, , , , , ,Durham Region and Ontario have similar rates of illicit drug use in lifetime since 2009
40,Non-Medical Use of Cold Medication or Inhalants,"Any non-medical use in lifetime of cough or cold medication, or inhalants like glue, aerosols, nail polish remover, or other solvents",Drugs,No,Durham Region,95,98,93, 
40,Non-Medical Use of Cold Medication or Inhalants,"Any non-medical use in lifetime of cough or cold medication, or inhalants like glue, aerosols, nail polish remover, or other solvents",Drugs,Yes,Durham Region,5,7,2, 
40,Non-Medical Use of Cold Medication or Inhalants,"Any non-medical use in lifetime of cough or cold medication, or inhalants like glue, aerosols, nail polish remover, or other solvents",Drugs,No,Ontario,95,96,94, 
40,Non-Medical Use of Cold Medication or Inhalants,"Any non-medical use in lifetime of cough or cold medication, or inhalants like glue, aerosols, nail polish remover, or other solvents",Drugs,Yes,Ontario,5,6,4, 
40,Non-Medical Use of Cold Medication or Inhalants,"Any non-medical use in lifetime of cough or cold medication, or inhalants like glue, aerosols, nail polish remover, or other solvents",Drugs,No,Durham Region Grades 7 and 8,91,94,88, 
40,Non-Medical Use of Cold Medication or Inhalants,"Any non-medical use in lifetime of cough or cold medication, or inhalants like glue, aerosols, nail polish remover, or other solvents",Drugs,Yes,Durham Region Grades 7 and 8,9,12,6, 
40,Non-Medical Use of Cold Medication or Inhalants,"Any non-medical use in lifetime of cough or cold medication, or inhalants like glue, aerosols, nail polish remover, or other solvents",Drugs,No,Durham Region Grades 9 to 12,97,99,95, 
40,Non-Medical Use of Cold Medication or Inhalants,"Any non-medical use in lifetime of cough or cold medication, or inhalants like glue, aerosols, nail polish remover, or other solvents",Drugs,Yes,Durham Region Grades 9 to 12,3,5,1, 
40,Non-Medical Use of Cold Medication or Inhalants,"Any non-medical use in lifetime of cough or cold medication, or inhalants like glue, aerosols, nail polish remover, or other solvents",Drugs,No,Ontario Grades 7 and 8,92,94,91, 
40,Non-Medical Use of Cold Medication or Inhalants,"Any non-medical use in lifetime of cough or cold medication, or inhalants like glue, aerosols, nail polish remover, or other solvents",Drugs,Yes,Ontario Grades 7 and 8,8,9,6, 
40,Non-Medical Use of Cold Medication or Inhalants,"Any non-medical use in lifetime of cough or cold medication, or inhalants like glue, aerosols, nail polish remover, or other solvents",Drugs,No,Ontario Grades 9 to 12,96,97,94, 
40,Non-Medical Use of Cold Medication or Inhalants,"Any non-medical use in lifetime of cough or cold medication, or inhalants like glue, aerosols, nail polish remover, or other solvents",Drugs,Yes,Ontario Grades 9 to 12,4,6,3, 
40,Non-Medical Use of Cold Medication or Inhalants,"Any non-medical use in lifetime of cough or cold medication, or inhalants like glue, aerosols, nail polish remover, or other solvents",Drugs,No,Durham Region Male,96,99,93, 
40,Non-Medical Use of Cold Medication or Inhalants,"Any non-medical use in lifetime of cough or cold medication, or inhalants like glue, aerosols, nail polish remover, or other solvents",Drugs,Yes,Durham Region Male, , , , 
40,Non-Medical Use of Cold Medication or Inhalants,"Any non-medical use in lifetime of cough or cold medication, or inhalants like glue, aerosols, nail polish remover, or other solvents",Drugs,No,Durham Region Female,95,97,92, 
40,Non-Medical Use of Cold Medication or Inhalants,"Any non-medical use in lifetime of cough or cold medication, or inhalants like glue, aerosols, nail polish remover, or other solvents",Drugs,Yes,Durham Region Female,5,8,3, 
40,Non-Medical Use of Cold Medication or Inhalants,"Any non-medical use in lifetime of cough or cold medication, or inhalants like glue, aerosols, nail polish remover, or other solvents",Drugs,No,Ontario Male,95,97,94, 
40,Non-Medical Use of Cold Medication or Inhalants,"Any non-medical use in lifetime of cough or cold medication, or inhalants like glue, aerosols, nail polish remover, or other solvents",Drugs,Yes,Ontario Male,5,6,3, 
40,Non-Medical Use of Cold Medication or Inhalants,"Any non-medical use in lifetime of cough or cold medication, or inhalants like glue, aerosols, nail polish remover, or other solvents",Drugs,No,Ontario Female,94,96,93, 
40,Non-Medical Use of Cold Medication or Inhalants,"Any non-medical use in lifetime of cough or cold medication, or inhalants like glue, aerosols, nail polish remover, or other solvents",Drugs,Yes,Ontario Female,6,7,4, 
40,Non-Medical Use of Cold Medication or Inhalants,"Any non-medical use in lifetime of cough or cold medication, or inhalants like glue, aerosols, nail polish remover, or other solvents",Drugs,2009,Durham Region,11,14,7, 
40,Non-Medical Use of Cold Medication or Inhalants,"Any non-medical use in lifetime of cough or cold medication, or inhalants like glue, aerosols, nail polish remover, or other solvents",Drugs,2011,Durham Region,16,20,12, 
40,Non-Medical Use of Cold Medication or Inhalants,"Any non-medical use in lifetime of cough or cold medication, or inhalants like glue, aerosols, nail polish remover, or other solvents",Drugs,2013,Durham Region,15,17,13, 
40,Non-Medical Use of Cold Medication or Inhalants,"Any non-medical use in lifetime of cough or cold medication, or inhalants like glue, aerosols, nail polish remover, or other solvents",Drugs,2015,Durham Region,10,13,8, 
40,Non-Medical Use of Cold Medication or Inhalants,"Any non-medical use in lifetime of cough or cold medication, or inhalants like glue, aerosols, nail polish remover, or other solvents",Drugs,2017,Durham Region,14,17,10, 
40,Non-Medical Use of Cold Medication or Inhalants,"Any non-medical use in lifetime of cough or cold medication, or inhalants like glue, aerosols, nail polish remover, or other solvents",Drugs,2019,Durham Region,13,16,10, 
40,Non-Medical Use of Cold Medication or Inhalants,"Any non-medical use in lifetime of cough or cold medication, or inhalants like glue, aerosols, nail polish remover, or other solvents",Drugs,2009,Ontario,14,16,12, 
40,Non-Medical Use of Cold Medication or Inhalants,"Any non-medical use in lifetime of cough or cold medication, or inhalants like glue, aerosols, nail polish remover, or other solvents",Drugs,2011,Ontario,17,19,14, 
40,Non-Medical Use of Cold Medication or Inhalants,"Any non-medical use in lifetime of cough or cold medication, or inhalants like glue, aerosols, nail polish remover, or other solvents",Drugs,2013,Ontario,14,17,12, 
40,Non-Medical Use of Cold Medication or Inhalants,"Any non-medical use in lifetime of cough or cold medication, or inhalants like glue, aerosols, nail polish remover, or other solvents",Drugs,2015,Ontario,10,12,8, 
40,Non-Medical Use of Cold Medication or Inhalants,"Any non-medical use in lifetime of cough or cold medication, or inhalants like glue, aerosols, nail polish remover, or other solvents",Drugs,2017,Ontario,14,16,12, 
40,Non-Medical Use of Cold Medication or Inhalants,"Any non-medical use in lifetime of cough or cold medication, or inhalants like glue, aerosols, nail polish remover, or other solvents",Drugs,2019,Ontario,13,14,11, 
40,Non-Medical Use of Cold Medication or Inhalants,"Any non-medical use in lifetime of cough or cold medication, or inhalants like glue, aerosols, nail polish remover, or other solvents",Drugs, , , , , ,Between 2017 and 2019 non-medical use of cold medication or inhalants stayed about the same in Durham Region
40,Non-Medical Use of Cold Medication or Inhalants,"Any non-medical use in lifetime of cough or cold medication, or inhalants like glue, aerosols, nail polish remover, or other solvents",Drugs, , , , , ,Between 2009 and 2019 non-medical use of cold medication or inhalants stayed the same in Durham Region
40,Non-Medical Use of Cold Medication or Inhalants,"Any non-medical use in lifetime of cough or cold medication, or inhalants like glue, aerosols, nail polish remover, or other solvents",Drugs, , , , , ,Durham Region and Ontario have similar rates of non-medical use of cold medication or inhalants since 2009
7,Non-Medical Tranquilizer Use,"Used sedatives or tranquilizers once in life",Drugs,No,Durham Region,96,99,94, 
7,Non-Medical Tranquilizer Use,"Used sedatives or tranquilizers once in life",Drugs,Yes run,Durham Region,4,6,1, 
7,Non-Medical Tranquilizer Use,"Used sedatives or tranquilizers once in life",Drugs,No,Ontario,97,98,95, 
7,Non-Medical Tranquilizer Use,"Used sedatives or tranquilizers once in life",Drugs,Yes run,Ontario,3,5,2, 
7,Non-Medical Tranquilizer Use,"Used sedatives or tranquilizers once in life",Drugs,No,Durham Region Grades 9 to 12,96,99,94, 
7,Non-Medical Tranquilizer Use,"Used sedatives or tranquilizers once in life",Drugs,Yes run,Durham Region Grades 9 to 12,4,6,1, 
7,Non-Medical Tranquilizer Use,"Used sedatives or tranquilizers once in life",Drugs,No,Ontario Grades 9 to 12,97,98,95, 
7,Non-Medical Tranquilizer Use,"Used sedatives or tranquilizers once in life",Drugs,Yes run,Ontario Grades 9 to 12,3,5,2, 
7,Non-Medical Tranquilizer Use,"Used sedatives or tranquilizers once in life",Drugs,No,Durham Region Male,95,99,90, 
7,Non-Medical Tranquilizer Use,"Used sedatives or tranquilizers once in life",Drugs,Yes run,Durham Region Male, , , , 
7,Non-Medical Tranquilizer Use,"Used sedatives or tranquilizers once in life",Drugs,No,Durham Region Female,98,100,95, 
7,Non-Medical Tranquilizer Use,"Used sedatives or tranquilizers once in life",Drugs,Yes run,Durham Region Female, , , , 
7,Non-Medical Tranquilizer Use,"Used sedatives or tranquilizers once in life",Drugs,No,Ontario Male,96,98,95, 
7,Non-Medical Tranquilizer Use,"Used sedatives or tranquilizers once in life",Drugs,Yes run,Ontario Male,4,5,2, 
7,Non-Medical Tranquilizer Use,"Used sedatives or tranquilizers once in life",Drugs,No,Ontario Female,97,98,96, 
7,Non-Medical Tranquilizer Use,"Used sedatives or tranquilizers once in life",Drugs,Yes run,Ontario Female,3,4,2, 
7,Non-Medical Tranquilizer Use,"Used sedatives or tranquilizers once in life",Drugs,2009,Durham Region,2,3,1, 
7,Non-Medical Tranquilizer Use,"Used sedatives or tranquilizers once in life",Drugs,2011,Durham Region,3,5,2, 
7,Non-Medical Tranquilizer Use,"Used sedatives or tranquilizers once in life",Drugs,2013,Durham Region, , , , 
7,Non-Medical Tranquilizer Use,"Used sedatives or tranquilizers once in life",Drugs,2015,Durham Region,3,5,1, 
7,Non-Medical Tranquilizer Use,"Used sedatives or tranquilizers once in life",Drugs,2017,Durham Region, , , , 
7,Non-Medical Tranquilizer Use,"Used sedatives or tranquilizers once in life",Drugs,2019,Durham Region,4,6,1, 
7,Non-Medical Tranquilizer Use,"Used sedatives or tranquilizers once in life",Drugs,2009,Ontario,2,3,1, 
7,Non-Medical Tranquilizer Use,"Used sedatives or tranquilizers once in life",Drugs,2011,Ontario,2,3,1, 
7,Non-Medical Tranquilizer Use,"Used sedatives or tranquilizers once in life",Drugs,2013,Ontario,3,4,2, 
7,Non-Medical Tranquilizer Use,"Used sedatives or tranquilizers once in life",Drugs,2015,Ontario,2,3,1, 
7,Non-Medical Tranquilizer Use,"Used sedatives or tranquilizers once in life",Drugs,2017,Ontario,3,4,2, 
7,Non-Medical Tranquilizer Use,"Used sedatives or tranquilizers once in life",Drugs,2019,Ontario,3,5,2, 
7,Non-Medical Tranquilizer Use,"Used sedatives or tranquilizers once in life",Drugs, , , , , ,Between 2017 and 2019 non-medical tranquilizer use stayed about the same in Durham Region
7,Non-Medical Tranquilizer Use,"Used sedatives or tranquilizers once in life",Drugs, , , , , ,Between 2009 and 2019 non-medical tranquilizer use stayed the same in Durham Region
7,Non-Medical Tranquilizer Use,"Used sedatives or tranquilizers once in life",Drugs, , , , , ,Durham Region and Ontario have similar rates of non-medical tranquilizer use since 2009
2,Opioid Use,"How often opioids were used in the past year",Drugs,Did not use,Durham Region,91,94,88, 
2,Opioid Use,"How often opioids were used in the past year",Drugs,Once or twice,Durham Region,4,7,2, 
2,Opioid Use,"How often opioids were used in the past year",Drugs,Three or more times,Durham Region,5,6,3, 
2,Opioid Use,"How often opioids were used in the past year",Drugs,Did not use,Ontario,89,90,88, 
2,Opioid Use,"How often opioids were used in the past year",Drugs,Once or twice,Ontario,5,6,4, 
2,Opioid Use,"How often opioids were used in the past year",Drugs,Three or more times,Ontario,6,8,5, 
2,Opioid Use,"How often opioids were used in the past year",Drugs,Did not use,Durham Region Grades 7 and 8,91,95,88, 
2,Opioid Use,"How often opioids were used in the past year",Drugs,Once or twice,Durham Region Grades 7 and 8,5,7,3, 
2,Opioid Use,"How often opioids were used in the past year",Drugs,Three or more times,Durham Region Grades 7 and 8,4,6,1, 
2,Opioid Use,"How often opioids were used in the past year",Drugs,Did not use,Durham Region Grades 9 to 12,91,94,87, 
2,Opioid Use,"How often opioids were used in the past year",Drugs,Once or twice,Durham Region Grades 9 to 12, , , , 
2,Opioid Use,"How often opioids were used in the past year",Drugs,Three or more times,Durham Region Grades 9 to 12,5,7,3, 
2,Opioid Use,"How often opioids were used in the past year",Drugs,Did not use,Ontario Grades 7 and 8,89,91,87, 
2,Opioid Use,"How often opioids were used in the past year",Drugs,Once or twice,Ontario Grades 7 and 8,5,6,3, 
2,Opioid Use,"How often opioids were used in the past year",Drugs,Three or more times,Ontario Grades 7 and 8,6,8,4, 
2,Opioid Use,"How often opioids were used in the past year",Drugs,Did not use,Ontario Grades 9 to 12,89,90,88, 
2,Opioid Use,"How often opioids were used in the past year",Drugs,Once or twice,Ontario Grades 9 to 12,5,6,3, 
2,Opioid Use,"How often opioids were used in the past year",Drugs,Three or more times,Ontario Grades 9 to 12,6,8,5, 
2,Opioid Use,"How often opioids were used in the past year",Drugs,Did not use,Durham Region Male,91,95,88, 
2,Opioid Use,"How often opioids were used in the past year",Drugs,Once or twice,Durham Region Male,5,9,2, 
2,Opioid Use,"How often opioids were used in the past year",Drugs,Three or more times,Durham Region Male,3,5,1, 
2,Opioid Use,"How often opioids were used in the past year",Drugs,Did not use,Durham Region Female,91,94,88, 
2,Opioid Use,"How often opioids were used in the past year",Drugs,Once or twice,Durham Region Female, , , , 
2,Opioid Use,"How often opioids were used in the past year",Drugs,Three or more times,Durham Region Female,6,8,3, 
2,Opioid Use,"How often opioids were used in the past year",Drugs,Did not use,Ontario Male,89,91,88, 
2,Opioid Use,"How often opioids were used in the past year",Drugs,Once or twice,Ontario Male,5,6,4, 
2,Opioid Use,"How often opioids were used in the past year",Drugs,Three or more times,Ontario Male,6,7,5, 
2,Opioid Use,"How often opioids were used in the past year",Drugs,Did not use,Ontario Female,89,91,87, 
2,Opioid Use,"How often opioids were used in the past year",Drugs,Once or twice,Ontario Female,4,5,3, 
2,Opioid Use,"How often opioids were used in the past year",Drugs,Three or more times,Ontario Female,7,8,5, 
2,Opioid Use,"How often opioids were used in the past year",Drugs,2009,Durham Region,20,25,14, 
2,Opioid Use,"How often opioids were used in the past year",Drugs,2011,Durham Region,16,19,12, 
2,Opioid Use,"How often opioids were used in the past year",Drugs,2013,Durham Region,10,14,5, 
2,Opioid Use,"How often opioids were used in the past year",Drugs,2015,Durham Region,10,14,7, 
2,Opioid Use,"How often opioids were used in the past year",Drugs,2017,Durham Region,10,13,6, 
2,Opioid Use,"How often opioids were used in the past year",Drugs,2019,Durham Region,9,12,6, 
2,Opioid Use,"How often opioids were used in the past year",Drugs,2009,Ontario,18,19,16, 
2,Opioid Use,"How often opioids were used in the past year",Drugs,2011,Ontario,14,16,12, 
2,Opioid Use,"How often opioids were used in the past year",Drugs,2013,Ontario,12,14,11, 
2,Opioid Use,"How often opioids were used in the past year",Drugs,2015,Ontario,10,11,8, 
2,Opioid Use,"How often opioids were used in the past year",Drugs,2017,Ontario,11,12,9, 
2,Opioid Use,"How often opioids were used in the past year",Drugs,2019,Ontario,11,12,10, 
2,Opioid Use,"How often opioids were used in the past year",Drugs, , , , , ,Between 2017 and 2019 opioid use stayed about the same in Durham Region
2,Opioid Use,"How often opioids were used in the past year",Drugs, , , , , ,Between 2009 and 2019 opioid use decreased in Durham Region
2,Opioid Use,"How often opioids were used in the past year",Drugs, , , , , ,Durham Region and Ontario have similar rates of opioid use since 2009
31,View of Cocaine Availability,"Belief on how difficult it is to get cocaine if needed",Drugs,Difficult,Durham Region,63,72,53, 
31,View of Cocaine Availability,"Belief on how difficult it is to get cocaine if needed",Drugs,Easy,Durham Region,8,13,4, 
31,View of Cocaine Availability,"Belief on how difficult it is to get cocaine if needed",Drugs,Not sure,Durham Region,29,37,21, 
31,View of Cocaine Availability,"Belief on how difficult it is to get cocaine if needed",Drugs,Difficult,Ontario,55,57,52, 
31,View of Cocaine Availability,"Belief on how difficult it is to get cocaine if needed",Drugs,Easy,Ontario,12,14,10, 
31,View of Cocaine Availability,"Belief on how difficult it is to get cocaine if needed",Drugs,Not sure,Ontario,33,36,30, 
31,View of Cocaine Availability,"Belief on how difficult it is to get cocaine if needed",Drugs,Difficult,Durham Region Grades 9 to 12,63,72,53, 
31,View of Cocaine Availability,"Belief on how difficult it is to get cocaine if needed",Drugs,Easy,Durham Region Grades 9 to 12,8,13,4, 
31,View of Cocaine Availability,"Belief on how difficult it is to get cocaine if needed",Drugs,Not sure,Durham Region Grades 9 to 12,29,37,21, 
31,View of Cocaine Availability,"Belief on how difficult it is to get cocaine if needed",Drugs,Difficult,Ontario Grades 9 to 12,55,57,52, 
31,View of Cocaine Availability,"Belief on how difficult it is to get cocaine if needed",Drugs,Easy,Ontario Grades 9 to 12,12,14,10, 
31,View of Cocaine Availability,"Belief on how difficult it is to get cocaine if needed",Drugs,Not sure,Ontario Grades 9 to 12,33,36,30, 
31,View of Cocaine Availability,"Belief on how difficult it is to get cocaine if needed",Drugs,Difficult,Durham Region Male,64,72,55, 
31,View of Cocaine Availability,"Belief on how difficult it is to get cocaine if needed",Drugs,Easy,Durham Region Male,7,11,3, 
31,View of Cocaine Availability,"Belief on how difficult it is to get cocaine if needed",Drugs,Not sure,Durham Region Male,30,38,21, 
31,View of Cocaine Availability,"Belief on how difficult it is to get cocaine if needed",Drugs,Difficult,Durham Region Female,61,72,50, 
31,View of Cocaine Availability,"Belief on how difficult it is to get cocaine if needed",Drugs,Easy,Durham Region Female,10,17,3, 
31,View of Cocaine Availability,"Belief on how difficult it is to get cocaine if needed",Drugs,Not sure,Durham Region Female,29,38,19, 
31,View of Cocaine Availability,"Belief on how difficult it is to get cocaine if needed",Drugs,Difficult,Ontario Male,55,58,51, 
31,View of Cocaine Availability,"Belief on how difficult it is to get cocaine if needed",Drugs,Easy,Ontario Male,12,15,9, 
31,View of Cocaine Availability,"Belief on how difficult it is to get cocaine if needed",Drugs,Not sure,Ontario Male,33,37,30, 
31,View of Cocaine Availability,"Belief on how difficult it is to get cocaine if needed",Drugs,Difficult,Ontario Female,55,58,52, 
31,View of Cocaine Availability,"Belief on how difficult it is to get cocaine if needed",Drugs,Easy,Ontario Female,12,15,10, 
31,View of Cocaine Availability,"Belief on how difficult it is to get cocaine if needed",Drugs,Not sure,Ontario Female,32,36,29, 
33,View of Ecstasy Availability,"Belief on how difficult it is to get ecstasy if needed",Drugs,Difficult,Durham Region,59,67,51, 
33,View of Ecstasy Availability,"Belief on how difficult it is to get ecstasy if needed",Drugs,Easy,Durham Region,10,14,5, 
33,View of Ecstasy Availability,"Belief on how difficult it is to get ecstasy if needed",Drugs,Not sure,Durham Region,31,39,24, 
33,View of Ecstasy Availability,"Belief on how difficult it is to get ecstasy if needed",Drugs,Difficult,Ontario,51,54,49, 
33,View of Ecstasy Availability,"Belief on how difficult it is to get ecstasy if needed",Drugs,Easy,Ontario,11,14,9, 
33,View of Ecstasy Availability,"Belief on how difficult it is to get ecstasy if needed",Drugs,Not sure,Ontario,37,40,35, 
33,View of Ecstasy Availability,"Belief on how difficult it is to get ecstasy if needed",Drugs,Difficult,Durham Region Grades 9 to 12,59,67,51, 
33,View of Ecstasy Availability,"Belief on how difficult it is to get ecstasy if needed",Drugs,Easy,Durham Region Grades 9 to 12,10,14,5, 
33,View of Ecstasy Availability,"Belief on how difficult it is to get ecstasy if needed",Drugs,Not sure,Durham Region Grades 9 to 12,31,39,24, 
33,View of Ecstasy Availability,"Belief on how difficult it is to get ecstasy if needed",Drugs,Difficult,Ontario Grades 9 to 12,51,54,49, 
33,View of Ecstasy Availability,"Belief on how difficult it is to get ecstasy if needed",Drugs,Easy,Ontario Grades 9 to 12,11,14,9, 
33,View of Ecstasy Availability,"Belief on how difficult it is to get ecstasy if needed",Drugs,Not sure,Ontario Grades 9 to 12,37,40,35, 
33,View of Ecstasy Availability,"Belief on how difficult it is to get ecstasy if needed",Drugs,Difficult,Durham Region Male,60,68,52, 
33,View of Ecstasy Availability,"Belief on how difficult it is to get ecstasy if needed",Drugs,Easy,Durham Region Male,7,12,3, 
33,View of Ecstasy Availability,"Belief on how difficult it is to get ecstasy if needed",Drugs,Not sure,Durham Region Male,33,40,25, 
33,View of Ecstasy Availability,"Belief on how difficult it is to get ecstasy if needed",Drugs,Difficult,Durham Region Female,57,65,50, 
33,View of Ecstasy Availability,"Belief on how difficult it is to get ecstasy if needed",Drugs,Easy,Durham Region Female,13,20,6, 
33,View of Ecstasy Availability,"Belief on how difficult it is to get ecstasy if needed",Drugs,Not sure,Durham Region Female,30,39,21, 
33,View of Ecstasy Availability,"Belief on how difficult it is to get ecstasy if needed",Drugs,Difficult,Ontario Male,51,54,47, 
33,View of Ecstasy Availability,"Belief on how difficult it is to get ecstasy if needed",Drugs,Easy,Ontario Male,12,16,9, 
